codigo,titulo,endereco,bairro,modalidade,valor,area,quartos,tipo_imovel,numero_item
155551065666-2,SAO PAULO - ALTA VISTA VILA MARIA RESIDENCIAL CLUBE,"RUA SOLDADO JOSE FERNANDES DA SILVA,N. 390 Apto. 143 TORRE 02, , VILA MARIA",VILA MARIA,Leilão,"R$ 217.476,62",,,,564
155550784519-0,SAO PAULO - RES PARQUE TAQUARI,"RUA TAQUARI,N. 941 Apto. 13 TORRE 1, , BELENZINHO",BELENZINHO,Leilão,"R$ 446.000,00",,2 quartos,,546
878771143195-0,SAO PAULO - SPAZIO SAINT GREGORY,"RUA TOMOICHI SHIMIZU,N. 420 Apto. 405 TR 03, VG 380, , GUAIANAZES",GUAIANAZES,Leilão,"R$ 237.117,51","93,56 m²",2 quartos,Apartamento,552
878771201258-7,SAO PAULO - COND RES PLANO & VISTA DO CARMO II,"RUA TOMOICHI SHIMIZU,N. 191 Apto. 211 TORRE A, , GUAIANASES",GUAIANASES,Leilão,"R$ 167.962,00","55,4 m²",2 quartos,Apartamento,565
878771724708-6,SAO PAULO - COND RES PLANO & VISTA DO CARMO II,"RUA TOMOICHI SHIMIZU,N. 191 Apto. 1709 17 PAV TORRE B, , GUAIANAZES",GUAIANAZES,Leilão,"R$ 195.022,70","55,56 m²",2 quartos,Apartamento,551
144442163416-5,SAO PAULO - CONS RES TERRAS DE SANTANA,"RUA JOAO DE CASTELHANOS,N. 64 Apto. 102 BL A, , AGUA FRIA",AGUA FRIA,Leilão,"R$ 1.247.810,55","195,86 m²",3 quartos,Apartamento,535
144440402240-8,SAO PAULO - ED SAN FRANCISCO,"RUA CUIABA,N. 353 Apto. 184 DUPLEX, , ALTO DA MOOCA",ALTO DA MOOCA,,,,,,
878770738079-4,SAO PAULO - VIVAZ ESTAÇÃO BELÉM,"RUA PIRES DE CAMPOS,N. 268 Apto. 811 TORRE 2, , ALTO DA MOOCA",ALTO DA MOOCA,Leilão,"R$ 315.000,00","77,06 m²",1 quartos,Apartamento,484
144440675511-9,SAO PAULO - EDIFICIO  VIOLETA,"RUA RUI MARTINS,N. 102 Apto. 102 10° ANDAR 33°SUBDISTRITO, , ALTO DA MOOCA",ALTO DA MOOCA,Leilão,"R$ 275.500,00",,,,551
878771531745-1,SAO PAULO - CONDOMINIO ELEVA CUPECE,"RUA MARCO GAGLIANO,N. S/N Apto. 1914, , AMERICANOPOLIS",AMERICANOPOLIS,Leilão,"R$ 231.836,89","82,97 m²",2 quartos,Apartamento,550
855553375430-8,SAO PAULO - CONDOMINIO CENTRAL DA BARRA - BOURBON,"RUA CONEGO VICENTE MIGUEL MARINO,N. 91 Apto. 1305, , BARRA FUNDA",BARRA FUNDA,Leilão,"R$ 201.088,68","47,65 m²",1 quartos,Apartamento,533
144441617604-9,SAO PAULO - CONDOMINIO BEM VIVER 9 DE JULHO,"AVENIDA NOVE DE JULHO,N. 544 Apto. 709 7 PAVIMENTO TIPO E, , BELA VISTA",BELA VISTA,Leilão,"R$ 320.225,00","49,29 m²",2 quartos,Apartamento,536
830100000159-8,SAO PAULO - COND ED  SUZANA,"RUA MANOEL DUTRA,N. 608 Apto. 58 5ANDAR, , BELA VISTA",BELA VISTA,Leilão,"R$ 170.000,00","34,82 m²",1 quartos,Apartamento,552
878770607484-3,SAO PAULO - COND ON BELEM CITY,"AVENIDA CELSO GARCIA,N. 1459 Apto. 164 TORRE A, , BELENZINHO",BELENZINHO,Leilão,"R$ 265.000,00","85,32 m²",,Apartamento,542
855553556126-4,SAO PAULO - IN PARQUE BELÉM PERDIZES,"RUA INTENDENCIA,N. 344 Apto. 92 TR. B, , BELENZINHO",BELENZINHO,Leilão,"R$ 286.102,29","59,15 m²",2 quartos,Apartamento,534
878771048743-0,SAO PAULO - VIVAZ ESTAÇÃO BELÉM,"RUA SIQUEIRA BUENO,N. 656 Apto. 505 TORRE 02, , BELENZINHO",BELENZINHO,Leilão,"R$ 182.000,00","34,28 m²",1 quartos,Apartamento,485
878771121178-0,SAO PAULO - VIVAZ ESTAÇÃO BELÉM,"RUA SIQUEIRA BUENO,N. 656 Apto. 908 TR 02, , BELENZINHO",BELENZINHO,Leilão,"R$ 199.200,00","34,28 m²",1 quartos,Apartamento,553
878771133206-5,SAO PAULO - VIVAZ ESTAÇÃO BELÉM,"RUA SIQUEIRA BUENO,N. 656 Apto. 305 TORRE 02 PAV 03 SUBCOND 02, , BELENZINHO",BELENZINHO,Leilão,"R$ 208.000,00","34,28 m²",1 quartos,Apartamento,552
878771597763-0,SAO PAULO - VIVAZ ESTAÇÃO BELÉM,"RUA SIQUEIRA BUENO,N. 656 Apto. 1710 AP 1710 PAV 17 TORRE 1 SUB COND 1, , BELENZINHO",BELENZINHO,Leilão,"R$ 230.000,00","34,28 m²",,Apartamento,504
155553315072-2,SAO PAULO - CONDOMINIO AQUARELA PAULISTANA,"RUA JARAGUA,N. 737 Apto. 41 BL B, , BOM RETIRO",BOM RETIRO,Leilão,"R$ 529.553,34","91,46 m²",2 quartos,Apartamento,536
155553536701-0,SAO PAULO - FELICITY HOUSE,"RUA JULIO CONCEICAO,N. 640 Apto. 81, , BOM RETIRO",BOM RETIRO,Leilão,"R$ 472.000,00",,,,554
115974187733-5,SAO PAULO - BOSQUE DA SAUDE,"RUA CARLOS TIAGO PEREIRA,N. 539",,,"R$ 842.911,73",,4 quartos,Casa,483
878771209776-0,SAO PAULO - COND RES PLANO & BRAS,"RUA CAETANO PINTO,N. 252 Apto. 202 AP 202 - 6º SUBDISTRI - BRÁS, , BRAS",BRAS,Leilão,"R$ 225.000,00","35,41 m²",1 quartos,Apartamento,505
878771230360-3,SAO PAULO - COND RES PLANO & BRAS,"RUA CAETANO PINTO,N. 252 Apto. 209, , BRAS",BRAS,Leilão,"R$ 215.765,00","35,85 m²",1 quartos,Apartamento,535
878771294198-7,SAO PAULO - COND RES PLANO & BRAS,"RUA CAETANO PINTO,N. 252 Apto. 513, , BRAS",BRAS,,"R$ 120.882,70","41,02 m²",2 quartos,Apartamento,484
878771783220-5,SAO PAULO - BRAS,"Número do item: 506VISCONDE DE PARNAIBA,N. 766 Apto. 1104 TORRE A,",,Leilão,"R$ 241.808,91","31,26 m²",,Apartamento,506
878770952859-4,SAO PAULO - CONDOMINIO RESIDENCIAL LOOKS,"RUA DOM JOSE MARCONDES,N. 244 Apto. 44 4 PAVIMENTO, , BRASILANDIA",BRASILANDIA,Leilão,"R$ 208.000,00","69,43 m²",2 quartos,Apartamento,508
878770944033-6,SAO PAULO - VIBRA - PARAPUÃ,"RUA NEREU RANGEL PESTANA,N. 70 Apto. 210 TIPO A, TORRE 2, , BRASILANDIA",BRASILANDIA,,"R$ 125.113,59","49,87 m²",2 quartos,Apartamento,480
878770957450-2,SAO PAULO - VIBRA - PARAPUÃ,"RUA NEREU RANGEL PESTANA,N. 70 Apto. 406 TO 02, , BRASILANDIA",BRASILANDIA,,"R$ 132.970,97","49,33 m²",2 quartos,Apartamento,485
878771273673-9,SAO PAULO - VIBRA - PARAPUÃ,"RUA NEREU RANGEL PESTANA,N. 70 Apto. 1011 TORRE 1, , BRASILANDIA",BRASILANDIA,Leilão,"R$ 199.018,92","49,87 m²",2 quartos,Apartamento,551
878771006188-2,SAO PAULO - CONQUISTA JARDIM AMARALINA,"RUA SAVERIO QUADRIO,N. 615 Apto. 502 5 PAV BL 25, , BUTANTA",BUTANTA,Leilão,"R$ 235.131,66","73,41 m²",1 quartos,Apartamento,553
